TITLE,"Catullus, Carmina",LOCALDEF
ACER/2,"2_4, 45_15, 83_5","sharp, bitter, vehement, intense"
ACERBVS,"73_5, 68_1, 68_90","bitter; cruel, harsh, painful"
ACERVVS,64_359,"heap, pile, mass"
ACHILLES/N,64_338,"son of Peleus and Thetis, greatest of the Greek warriors in the Trojan War, tragic hero of Homer's Iliad"
ACHIVVS/A,64_366,"an Achaean, a Greek man"
ACIES,"63_56, 64_127","a sharp edge; the sight of one's eyes, vision"
ACINVS,27_4,grape
ACME/N,"45_1, 45_2, 45_10, 45_21, 45_23","woman's name (Gk. flower, pinnacle)"
ACQVIESCO,"2_8, 31_10","rest, relax, subside"
ACVTVS,"63_5, 63_24",sharp
AD/2,"3_10, 4_24, 6_17, 9_3, 10_1, 10_16, 10_26, 10_31, 14_13, 14_17, 21_6, 23_18, 26_1, 26_2, 26_4, 27_6, 31_9, 32_3, 39_2, 39_4, 46_6, 48_3, 61_3, 61_18, 61_42, 61_219, 63_12, 63_20, 63_20, 63_47, 63_52, 63_56, 63_75, 64_3, 64_85, 64_121, 64_277, 66_63, 67_14, 67_22, 68_69, 68_86, 68_88, 68_101, 76_4, 95_5, 95_7, 101_2, 101_8, 115_6, 115_6","prep w/ acc.: to, at"
ADDO,"23_18, 58_b_5, 66_36, 67_45, 68_153",add
ADEO/1,"8_16, 61_183, 63_3, 63_30, 63_54, 63_87","approach, go to, visit"
ADEO/2,64_25,"to a point (where); to such a degree, so"
ADHORTOR,63_85,urge on
ADIMO,"68_20, 68_31, 68_92, 68_93, 101_6","remove, take"
ADIPISCOR,"62_57, 66_27","catch up with, attain, win"
ADITVS,"61_26, 61_43",approach
ADIVRO,"66_40, 66_41",affirm with an oath; swear by (w/ acc.)
ADIVVO,32_4,help; make things easy
ADMIROR,"53_4, 64_15, 69_1, 69_10","marvel or wonder at, admire"
ADMOVEO,14_b_3,"move near, stretch out toward"
ADOLESCENS/2,63_63,"youth, young man"
ADONEVS/N,29_8,"archaic Latin form of Adonis, youth loved by Venus"
ADORIOR,63_11,attack; begin
ADVENIO,"61_37, 64_32, 64_279, 64_299, 64_328, 64_329, 68_73, 101_2","arrive at, come to"
ADVENTO,64_195,"approach, draw near"
ADVENTVS,"62_33, 65_22","approach, arrival"
ADVERSVS/2,"64_128, 51_3"," facing, opposite, against, opposed (to) (adv. and prep. + acc.)"
ADVLTER/1,57_8,"an illicit lover, adulterer"
ADVLTERA,61_102,an unchaste woman; a mistress
ADVLTERIVM,"66_84, 67_36, 78_6, 113_4",an adulterous act; adultery
ADVOCO,40_3,"call upon, summon"
AEETAEVS/N,64_3,"of Aeëtes, king of Colchis and father of Medea"
AEGEVS/N,64_213,"king of Athens, father of Theseus"
AEGROTVS,97_12,diseased
AEGYPTVS/N,66_36,Egypt
AEMILIVS/N,97_2,Roman nomen gentile
AEMVLVS/1,71_3,rival
AEQVALIS/1,"62_11, 62_32","peer; companion of one's own age, contemporary"
AEQVINOCTIALIS,46_2,"adj., associated with the vernal or autumnal equinox"
AEQVO,"22_8, 64_315","make level, even, or smooth"
AEQVOR,"4_17, 11_8, 64_7, 64_12, 64_179, 64_206, 68_3, 101_1","a smooth expanse; hence water, the sea"
AEQVOREVS,64_15,"of the sea, maritime"
AEQVVS,"62_60, 68_141","level, equal; fair, just"
AER,66_53,air
AERIVS,"30_10, 64_142, 64_240, 64_291, 66_6, 68_57","of the air, airy"
AES,"10_8, 41_8, 64_262","copper, bronze, or brass; coin, money"
AESTIMATIO,12_12,"price, monetary value"
AESTIMO,5_3,"appraise, value, esteem"
AESTVO,"25_12, 63_47","blaze; swelter; burn with pain or desire; toss about, seethe, writhe"
AESTVOSVS,"7_5, 46_5","hot, sweltering"
AESTVS,"64_127, 68_62, 68_108, 97_7","heat, hot weather; swell (of the sea), flood; tumult"
AETAS,"64_232, 64_237, 64_322, 68_16, 68_35, 68_43, 68_119, 76_5","age, lifetime"
AETERNVS,"64_310, 109_6","eternal, everlasting"
AETHER,63_40,the upper regions of space; upper air
AETHERIVS,66_55,of the sky or heavens
AETHIOPS/N,66_52,an Ethiopian
AEVVM,1_6,"time; a very long period of time, an age"
AFFERO,"13_3, 13_6, 14_22, 68_92, 84_10","bring along, come with"
AFFIGO,116_8,"to fasten to, put to, cling to"
AFFLIGO,71_6,"hit, knock down; afflict"
AFRICVS/N,61_206,of Africa
AGANIPPE/N,61_30,"a spring in Boeotia sacred to the Muses, and the nymph who lived there"
AGE,"61_26, 63_78, 63_81, 61_38, 63_12, 64_372",come!
AGEDVM,"63_78, 67_7",come!
AGER,"46_5, 68_62",a piece of land; territory
AGGER,64_363,"fill, rubble; a mound"
AGITO,"63_24, 63_78","freq. of ago, shake"
AGNOSCO,64_237,recognize
AGO,"32_9, 39_7, 40_2, 44_17, 49_5, 63_31, 63_71, 63_73, 63_93, 63_93, 64_391, 65_23, 68_16, 76_19","drive, do, conduct, throw; draw (breath); be engaged in"
AGRICOLA,"34_19, 62_53, 62_55",farmer
AH,"15_17, 21_11, 60_5, 61_139, 63_61, 64_71, 64_135, 64_178, 66_85","expletive of distress, pity, or entreaty"
AIO,"4_2, 4_15, 53_4, 63_84",say
ALA,"69_6, 71_1",wing; upper arm
ALACER,64_254,"moving nimbly, lively; eager"
ALBICO,63_87,have a whitish tinge
ALBVLVS,29_8,"white; transparent, clear, colorless (dim. of albus)"
ALBVS,"61_194, 63_40, 93_2","white; transparent, clear, colorless"
ALEO,"29_2, 29_10",a habitual gambler
ALES/1,"61_20, 64_152","large bird, bird of prey; an omen or augury (from watching birds)"
ALES/2,66_54,winged
ALFENVS/N,30_1,nomen gentile of P. Alfenus Varus and others
ALGA,"64_60, 64_168",seaweed
ALGIDVS,63_70,cold
ALIENVS/2,"63_14, 68_100",belonging to another person or people; foreign
ALIO,"62_15, 62_15",to another place; in another direction
ALIQVIS,"1_4, 22_19, 64_145, 67_13, 67_37, 73_2, 91_10","indef. pron., someone, something; indef. adj., some"
ALIVNDE,61_153,adv. from elsewhere
ALIVS,"29_15, 66_28, 21_3, 23_11, 24_3, 42_16, 49_3, 63_93, 63_93, 64_16, 64_251, 64_261, 68_152, 68_152, 82_2","other, another"
ALLIVS/N,"68_11, 68_30, 68_41, 68_50, 68_66, 68_150",a friend of Catullus
ALLOCVTIO,"38_5, 38_7",encouraging talk
ALLOQVOR,"63_49, 65_9, 101_4","speak to, address"
ALLVDO,64_67,play with
ALLVO,65_6,"flow past, wash, lap"
ALNVS,17_18,an alder tree
ALO,"64_88, 68_24, 68_96, 68_120","nurse, feed, foster; cherish"
ALPES/N,11_9,"the Alps, high mountains bordering Italy on the north"
ALTER,"5_8, 5_9, 57_4, 68_82, 78_2, 78_2","a second, one or the other (of two)"
ALTVS,"11_9, 42_18, 63_1, 63_12, 63_71, 64_288, 64_360, 64_368, 66_68, 68_117, 68_117","high, deep; loud"
AMABILIS,65_10,lovable
AMANS/1,"61_47, 64_335, 66_31, 70_3, 72_7","sweetheart, lover"
AMARACVS,61_7,"marjoram, an aromatic plant related to thyme and mint"
AMARITIES,68_18,bitterness
AMARVS,27_2,"bitter; (of wine) dry, tart"
AMASTRIS/N,4_13,the capital of Paphlagonia
AMATHVS/N,36_14,"acc. Amathunta, a town in Cyprus"
AMATHVSIA/N,68_51,Venus as worshipped at Amathus
AMBO/2,"35_10, 57_7, 71_5, 104_2","pl. adj. & pron., both"
AMBROSIA,"99_2, 99_13","the food of the gods, ambrosia"
AMBVLATIO,55_6,"the act of walking; a place for walking, covered walk, portico"
AMEANA/N,41_1,name of a prostitute 
AMENS,64_197,"demented, mad, insane"
AMICA,"41_4, 43_5, 72_3, 110_1","any female friend; girlfriend, mistress; (euphemistic) courtesan, prostitute"
AMICIO,"63_70, 64_311","cover, cloak"
AMICITIA,"77_6, 96_4, 100_6, 109_6","friendship, love"
AMICTVS,"64_64, 64_68, 64_266, 116_7",a mantle or cloak
AMICVLVS,30_2,friend (dim. of amicus)
AMICVS/1,"9_1, 28_13, 35_6, 41_6, 55_7, 55_14, 58_b_10, 63_59, 68_9, 73_6, 77_1, 102_1",friend
AMITTO,"62_46, 64_150, 64_245, 68_80","dismiss, give up, forfeit; lose"
AMNIS,"29_19, 34_12",river
AMO,"3_5, 5_1, 8_5, 8_5, 8_17, 11_19, 12_16, 14_1, 24_6, 32_1, 37_12, 37_12, 37_15, 40_8, 45_3, 45_3, 45_20, 45_20, 56_3, 58_3, 61_46, 62_16, 65_11, 67_34, 72_8, 75_4, 85_1, 87_1, 87_2, 92_2, 92_4, 97_1, 104_3",love
AMOR,"6_16, 7_8, 10_1, 11_21, 13_9, 15_1, 21_4, 30_8, 35_12, 38_6, 40_7, 45_1, 55_19, 55_22, 61_33, 61_45, 61_130, 61_205, 64_19, 64_27, 64_120, 64_182, 64_253, 64_330, 64_334, 64_335, 64_372, 66_6, 66_88, 67_25, 67_35, 68_24, 68_69, 68_73, 68_83, 68_96, 68_107, 68_117, 71_3, 76_6, 76_13, 78_3, 87_4, 91_2, 91_6, 96_3, 96_6, 99_15, 100_8, 109_1, 45_8, 45_17, 99_11","love; personified, the god of love"
AMPHITRITE/N,64_11,wife of Neptune; the sea
AMPHITRYONIADES/N,68_112,"Hercules, descendant of Amphitryon"
AMPLECTOR,64_30,embrace
AMPLIFICE,64_265,"magnificently, splendidly"
AMPLVS,"39_21, 68_14, 76_10, 99_3, 42_23","more, further; longer"
AN,"10_31, 17_22, 29_16, 37_6, 37_7, 40_5, 64_180, 64_182, 66_31, 80_5, 93_2, 97_2",particle introducing questions with note of surprise or indignation: can it be that … ?; (after utrum) or
ANCEPS/2,64_369,double–edged
ANCILLA,67_42,"slave girl, female slave"
ANCON/N,36_13,"Ancona, a town on the Adriatic coast"
ANDROGEONEVS/N,64_77,"of Androgeos, son of Minos and Pasiphaë"
ANGIPORTVM,58_4,"alley, lane"
ANGVINVS,64_193,"snaky, made of snakes"
ANGVSTO,64_359,"to make narrow, confine"
ANGVSTVS,64_80,narrow
ANHELO,63_31,"breathe hard, gasp, pant"
ANILITAS,61_162,old womanhood
ANIMA,"30_7, 63_31, 68_106",breath
ANIMVS,"2_10, 15_3, 17_25, 45_20, 62_17, 63_4, 63_18, 63_38, 63_47, 63_57, 63_61, 63_85, 64_70, 64_145, 64_250, 64_372, 65_4, 65_18, 68_26, 68_38, 76_11, 102_2, 107_2, 109_4, 116_1",the mind
ANNALIS/1,"36_1, 36_20, 95_7",a book of annals or chronicles; (pl.) a chronicle in several books
ANNE,66_27, = an; introducing questions with note of surprise or indignation: can it be that…?
ANNVO,"61_163, 64_204, 64_230",nod assent; consent
ANNVS,"21_3, 23_20, 24_3, 45_4, 49_3",year
ANNVVS,"34_18, 64_388",yearly
ANSER,25_2,goose
ANTE/2,"11_21, 45_8, 45_17, 62_28, 64_188, 64_384, 66_51, 64_67, 64_318, 66_67, 68_159","before, previously"
ANTEA,4_10,"adv. (ante + ea), previously"
ANTENNA,64_234,the horizontal yardarm of a sailing ship
ANTEQVAM,68_82,before
ANTESTO,9_2,surpass (w/ dat.) 
ANTIMACHVS/N,95_10,"Greek name, e.g., of Antimachus of Colophon, poet of 5/4 cent. B.C. famed for his prolixity"
ANTIQVVS,"34_23, 68_154, 66_64",lying in front; ancient
ANTIVS/N,44_11,Roman nomen gentile
ANVS/2,"9_4, 68_46, 78_b_4","old woman; as fem. adj., old, aged"
ANXIVS,"64_203, 64_242, 64_379, 68_8",anxious
AONIVS/N,61_28,"of Aonia, the part of Boeotia which includes Mt. Helicon"
APER,63_72,wild boar
APERIO,"67_40, 36_12",open
APHELIOTES/N,26_3,the east wind
APISCOR,64_145,"seIze, grasp; obtain"
APPAREO,64_168,be visible
APPETO,"2_3, 44_9, 64_102",try to reach; seek; attack
APPLICO,9_8,"press, lean against"
APPROBATIO,"45_9, 45_18","approval, assent"
APPROBO,61_227,"express approval of, commend; prove the excellence of"
APTVS,28_2,"tied, prepared, ready"
APVD,"13_1, 63_53, 68_33","prep. w/ acc., at, near, by; at the house of"
AQVA,70_4,water
AQVINVS/N,14_18,name of a Roman poet.
ARA,"64_132, 64_393, 68_79",altar
ARABES/N,11_5,an Arabian; Gk. acc. pl. Arabas
ARANEA,"13_8, 68_49","spiderweb, cobweb; spider"
ARANEOSVS,25_3,cobwebby
ARANEVS/1,23_2,spider
ARATRVM,"11_24, 62_40, 64_42",plow
ARBITRIVM,108_1,arbitration; authority; will
ARBITROR,39_8,"observe, consider, judge, reckon"
ARBOR,"61_35, 61_107, 64_41",tree
ARCA,"23_1, 24_5, 24_8, 24_10","chest, coffer; money"
ARDENS,"62_23, 64_124, 64_197, 64_354",passionate
ARDEO,"45_16, 68_53","burn, blaze"
ARDOR,"2_8, 62_29",conflagration; passion
ARENA,"7_3, 64_57","sand, beach"
ARGENTVM,64_44,silver
ARGIVVS/A,"68_87, 64_4","Argive; by metonymy, Greek"
ARGVO,64_322,"show, reveal; prove wrong"
ARGVTATIO,6_11,"a creaking, squeaking, chattering noise"
ARGVTVS,68_72,"clear–sounding, squeaking, creaking"
ARIADNA/N,"64_54, 64_253","Ariadne, daughter of Minos and Pasiphaë, half–sister of the Minotaur"
ARIADNEVS/N,66_60,of Adriadne
ARIDVLVS,64_316,dry (dim. of aridus)
ARIDVS,"1_2, 23_13, 48_5",dry
ARISTA,"48_5, 64_353",an ear of grain
ARMO,64_396,"arm, equip with arms"
ARRIVS/N,"84_2, 84_11",Roman nomen gentile
ARS,64_51,craftsmanship (cf. Gk. techne)
ARSINOE/N,66_54,"wife of Ptolemy II, deified and identified with Aphrodite"
ARTICVLVS,99_8,joint; finger
ARTVS/1,"51_9, 64_303, 64_364, 76_21","joint; limb; part of the body, member"
ARVNDINOSVS,36_13,reedy
ARVVM,"62_49, 64_354, 114_3, 115_2, 115_5",tilled field; field; tillable land
ARX,"64_8, 64_241","the fortified eminence of a city, citadel"
AS,"5_3, 33_8, 42_13","a copper coin of negligible value, like a penny"
ASIA/N,"46_6, 66_36, 68_89","Asia, esp. Asia Minor; the East"
ASINIVS/N,12_1,"belonging to the Roman gens Asinia, Asinius Marrucinus"
ASINVS,97_10,"ass, donkey"
ASIVS/A,61_22,beloning to the Lydian coast near Ephesus
ASPERNOR,64_301,"push away, reject, scorn, spurn"
ASPICIO,"51_7, 61_171, 62_12, 65_11, 76_19",look upon; look
ASPIRO,68_64,breathe; blow
ASSERO/3,61_106,plant near
ASSERVO,17_16,"keep safe, guard"
ASSIDVE,"45_4, 92_4","continually, constantly"
ASSIDVVS,"61_234, 64_71, 64_242, 65_1, 66_88, 68_55","settled; constantly present, persistent, unremitting"
ASSVLA,17_3,"board, plank (dim. of axis)"
ASSVM/1,"42_1, 61_77, 62_1, 62_5, 62_10, 62_19, 62_25, 62_31, 62_38, 62_48, 62_58_b, 62_66, 64_285, 64_336",be present
ASSYRIVS/N,"66_12, 68_144","Assyrian; (by extension) Asiatic, oriental"
AT/2,"30_11, 30_11, 3_13, 8_14, 8_19, 10_14, 10_21, 27_5, 28_14, 36_18, 44_3, 45_10, 50_14, 61_63, 61_68, 61_73, 61_196, 61_232, 62_36, 62_54, 63_87, 64_43, 64_58, 64_139, 64_241, 64_251, 64_309, 65_11, 66_21, 66_25, 95_7, 95_10","disjunctive conj., but, nevertheless, yet, however, yes but"
ATER,"39_12, 93_2, 108_5","black, dark–complexioned"
ATHENAE/N,64_81,Athens
ATHOS/N,66_46,mountain on the peninsula of Acte in the Chalcidice
ATQVE/1,"5_1, 6_2, 12_2, 13_3, 21_9, 23_21, 26_5, 30_1, 31_5, 31_12, 39_12, 39_19, 45_3, 50_6, 50_7, 58_3, 61_137, 63_61, 64_16, 64_44, 64_84, 64_93, 64_130, 64_205, 64_224, 64_315, 65_23, 66_2, 66_15, 66_33, 68_26, 68_48, 68_82, 68_106, 68_152, 68_152, 68_152, 73_6, 75_2, 76_11, 77_2, 77_3, 84_6, 88_1, 96_4, 97_10, 101_10, 101_10, 103_4, 107_5, 109_4",and
ATQVI,"23_12, 37_9, 67_31, 68_141","conj., but; moreover"
ATTAMEN,64_160,nevertheless
ATTENVO,64_41,"make thin, reduce, thin out"
ATTINGO,"22_15, 39_13, 64_75, 67_20, 89_5, 97_11","touch; touch upon (in speaking), mention"
ATTIS/N,"63_1, 63_27, 63_32, 63_42, 63_45, 63_88","in myth, a eunuch consort of the goddess Cybele"
ATTRAHO,15_18,draw with force; draw up
ATTRIBVO,22_20,"assign, allot"
ATTRITVS/2,6_10,worn away
AVARVS/2,110_7,"greedy, avaricious"
AVCTO,67_2,cause to grow or prosper; bless (w/ abl.)
AVCVPIVM,114_3,"the sport of fowling; game birds, wild fowl"
AVDACITER,55_16,boldly
AVDAX,50_18,"bold; audacious, reckless, rash"
AVDEO,"1_5, 37_7, 61_65, 61_70, 61_75, 64_6, 66_28, 81_6, 103_1","semi–dep., dare"
AVDIO,"9_6, 17_21, 51_4, 61_41, 61_84, 61_97, 61_129, 64_166, 64_195, 64_260, 65_9, 67_41, 68_112, 74_1, 84_8","hear, pay attention to"
AVEHO,64_132,carry off
AVELLO,"62_21, 62_22",tear away
AVEO,"46_7, 55_9, 101_10","desire, yearn"
AVERTO,"64_5, 64_406","divert; remove, steal"
AVFERO,"3_15, 62_32, 68_20, 101_5",carry away
AVFILENA/N,"100_1, 110_1, 110_6, 111_1",name of a sister in poem 100 
AVFILENVS/N,100_1,name of a brother in poem 100 
AVGEO,"64_25, 64_165, 64_323, 66_11","augment, increase; glorify; enhance, equip, furnish"
AVIA,84_6,grandmother
AVIDVS,"68_83, 108_4","greedy; ardently desirous, passionate"
AVITVS,"25_8, 68_121",of a grandfather; ancestral
AVLA/2,94_2,"pot, jar"
AVOLO/2,66_55,fly away
AVRA,"4_20, 46_3, 62_41, 64_84, 64_90, 64_164, 64_282, 68_64","breeze, wind"
AVRATVS,64_5,gilded; golden
AVRELIVS/N,"11_1, 15_2, 16_2, 21_1",belonging to the Roman gens Aurelia
AVREOLVS,"2_b_2, 61_167",golden(dim. of aureus)
AVREVS/2,"61_99, 63_39, 66_60",golden
AVRICILLA,25_2,a little ear (dim. of auris)
AVRICVLA,67_44,a little ear (dim. of auris)
AVRIFER,29_19,gold–bearing
AVRIS,"51_11, 56_2, 61_55, 62_15, 63_75, 64_170, 84_7",ear
AVRORA,64_271,the goddess of Dawn
AVRVM,"64_44, 64_100, 107_3",gold
AVRVNCVLEIA/N,61_86,female name
AVSCVLTO,67_39,"listen, overhear, eavesdrop on"
AVSPICATVS/2,45_26,"approved by augury; auspicious, fortunate, lucky"
AVSPICIVM,45_19,augury or omen taken from birds; any portent or omen
AVSTER/N,26_1,the south wind
AVT,"5_12, 7_7, 12_10, 12_11, 21_2, 21_3, 21_3, 22_4, 22_4, 22_10, 22_13, 23_13, 24_2, 24_3, 26_3, 29_8, 29_14, 29_21, 39_10, 39_10, 39_11, 39_11, 39_12, 39_13, 39_14, 42_14, 60_2, 63_55, 64_102, 64_102, 64_106, 64_121, 64_122, 64_262, 64_395, 64_395, 67_40, 68_38, 68_42, 68_131, 68_131, 69_4, 69_9, 69_10, 71_2, 73_2, 74_2, 76_7, 76_8, 76_17, 76_24, 82_2, 91_4, 103_1, 103_3, 107_7, 110_5, 110_5",or
AVTEM,"64_167, 64_207, 64_318, 66_70","postpos. part., on the other hand, while, futhermore, also"
AVTVMO,44_2,say
AVVNCVLVS,84_5,maternal uncle
AVVS,84_6,grandfather
AVXILIVM,"64_180, 68_66","aid, assistance, help"
BACCHOR,"64_61, 64_255","celebrate rites of Bacchus; act like a Bacchant, rave"
BALBVS/N,67_3,Roman cognomen
BALNEARIVS,33_1,of the baths
BARATHRVM,"68_108, 68_117","pit, chasm, abyss"
BARBA,37_19,beard
BARBARVS/2,"64_264, 66_46","outlandish; ""barbarian,"" spec. non–Greek, e.g., Persian"
BASIATIO,7_1,"a kissing, kissification"
BASIO,"7_9, 8_18, 48_2, 48_3",kiss
BASIVM,"5_7, 5_13, 7_9, 16_12, 99_16",a kiss
BATTIADES/N,"65_16, 116_2","an inhabitant of Cyrene (founded by Battus), esp. the poet Callimachus"
BATTVS/N,7_6,"Battus, legendary founder of Cyrene"
BEATVS,"14_10, 23_15, 9_5, 9_10, 9_11, 10_17, 22_16, 23_24, 23_27, 31_7, 37_14, 45_25, 51_15, 61_157, 68_14","happy, blessed; rich, well–to–do"
BELLVM,"37_13, 64_343, 64_345, 64_394",war
BELLVS,"12_2, 3_14, 3_15, 8_16, 22_9, 24_7, 24_8, 43_2, 43_6, 69_8, 78_3, 78_4, 78_4, 81_2, 106_1","pretty, nice, fine, charming"
BENE,"3_7, 10_32, 13_1, 13_7, 14_10, 23_7, 23_15, 28_9, 40_3, 61_187, 61_233, 67_13, 72_8, 73_1, 75_3, 76_7, 91_3",adv. well
BENEFACTVM,76_1,"benefit, good deed"
BENIGNE,"67_3, 73_3","benevolently, kindly"
BERENICEVS/N,66_8,belonging to Berenice
BESTIA,69_8,"beast, creature"
BETA/1,67_21,beet
BIBO/2,"39_21, 66_78, 66_85",drink
BIGA,58_b_4,a pair of horses (or the chariot drawn by them)
BIMVLVS,17_13,two years old (dim. of bimus)
BITHYNIA/N,10_7,"Roman province on the northwest coast of Asia Minor, where Catullus served on the administrative staff of Memius in 57–56 B.C."
BITHYNVS/N,31_5,Bithynian
BLANDVS,64_139,"charming, ingratiating, seductive, sweet"
BOMBVS,64_263,"a low, booming sound"
BONI,108_3,men of substance and social standing
BONONIENSIS/N,59_1,from Bononia (mod. Bologna)
BONVM,"6_15, 29_17, 63_59, 68_158, 77_4, 115_4","any good thing or circumstance, boon, blessing, benefit; pl. ""goods"" as property, one's estate"
BONVS,"11_16, 13_3, 14_15, 15_10, 17_5, 28_3, 33_1, 34_19, 34_23, 37_14, 37_19, 39_9, 45_19, 49_7, 61_19, 61_19, 61_44, 61_44, 61_62, 61_166, 61_186, 61_202, 61_204, 61_226, 61_228, 61_232, 64_23, 66_27, 67_2, 68_28, 71_1, 75_3, 89_1, 89_3, 97_4, 110_1","good; of ""good"" social standing"
BOOTES/N,66_67,the constellation Bootes
BOREAS/N,26_3,the north wind
BRACHIOLVM,61_181,arm (dim. of brachium)
BRACHIVM,"64_105, 64_332, 66_10",arm
BREVIS,"61_211, 5_5, 63_57","short, brief, scant"
BRITANNI/N,11_12,"natives of Britain, Britons"
BRITANNIA/N,"29_4, 29_20, 45_22",Britain
BRIXIA/N,"67_32, 67_34","mod. Brescia, a town in Cisalpine Gaul"
BVSTVM,64_363,funeral pyre; grave mound
BVXIFER,4_13,"producing box–trees (the Buxus yields boxwood, a close–grained, heavy, tough hardwood)"
CACHINNVS,"13_5, 31_14, 56_2, 64_273","laugh, guffaw; metaph. of rippling waves"
CACO,"23_20, 36_1, 36_20",defecate
CACVMEN,"4_16, 64_109, 64_240","peak, tip"
CADO,"11_22, 64_109",fall
CAECILIVS/N,"35_2, 35_18, 67_9",Roman nomen gentile
CAECVS,"64_197, 64_207, 67_25, 68_44",blind; dark
CAEDES,"64_77, 64_181, 64_360, 64_368","killing, murder; gore"
CAEDO,"56_7, 63_81, 64_359, 68_111","strike, strike dead; to ""beat"" with sexual intercourse; cut through, hew"
CAELEBS,68_6,"without a spouse; unpartnered, celibate"
CAELES/1,"11_14, 61_49, 61_197","heavenly; as subst., god or goddess"
CAELESTES,"64_191, 64_204",a god or goddess
CAELESTIS,"66_7, 66_37, 68_76","of the heavens, celestial"
CAELICOLA,"30_4, 64_386, 68_138","an inhabitan of heaven, god or goddess"
CAELIVS/N,"58_1, 100_1, 100_5, 100_8","A Roman nomen gentile, e.g., of M. Caelius Rufus"
CAELVM/1,"6_17, 46_2, 62_20, 62_26, 64_299, 66_59, 68_115",the sky or heavens
CAENVM,17_25,"mud, filth, slime"
CAERVLEVS,"36_11, 64_7",sea–blue
CAESAR/N,"11_10, 57_2, 93_1",Gaius Julius Caesar
CAESARIES,66_8,long hair
CAESIVS,"45_7, 14_18",having gray or gray–blue eyes; gray–eyed
CALAMVS,63_22,a reed; reed pipe
CALATHISCVS,64_319,a small basket
CALIGO/1,64_207,"darkness, murk"
CALIX,27_2,dish; drinking cup
CALLISTO/N,66_66,"daughter of Lycaon, changed into a she–bear and then into the constellation Ursa Major"
CALVVS/N,"14_2, 53_3, 96_2",cognomen of C. Licinius Calvus
CAMERIVS/N,"55_10, 58_b_7",nomen gentile of Catullus' friend sought in poem 55 and 58_b
CAMPVS/1,"31_6, 46_4, 55_3, 64_280, 64_344, 68_67","plain, field"
CANDEO,"64_14, 64_318, 64_45","shine, gleam, glisten, sparkle"
CANDIDVS,"8_3, 8_8, 13_4, 35_8, 39_1, 61_115, 64_162, 64_235, 64_308, 68_70, 68_134, 68_148, 80_2, 86_1, 107_6",bright; white; fair–skinned (implying beauty); gorgeous (of a woman)
CANIS,"42_17, 108_6",dog; (f.) bitch
CANITIES,64_224,white or gray coloring; whiteness of hair; gray hair
CANO,"34_4, 62_9, 63_11, 63_22, 63_27, 64_383",sing
CANOPIVS/A,66_58,"Canopic, of Canopus, a suburb of Alexandria on the Nile delta"
CANTVS,"64_264, 64_306",song; sound of instruments
CANVS,"61_162, 64_18, 64_350, 66_70, 68_124, 95_6, 108_1","white, whitened"
CAPER,69_6,"he goat, billy goat"
CAPILLATVS,37_17,long–haired
CAPILLVS,"25_1, 64_193",hair
CAPIO/2,"61_8, 61_63, 62_24, 63_8, 63_36, 66_36","catch, snatch"
CAPRIMVLGVS,22_10,goat milker
CAPSVLA,68_36,a small cylindrical case for holding book rolls
CAPTO,61_55,"try to catch; w/ aure, try to hear"
