TITLE,PRINCIPAL_PARTS,PRINCIPAL_PARTS_NO_DIACRITICALS,SIMPLE_LEMMA,SHORT_DEFINITION,LONG_DEFINITION,PART_OF_SPEECH,LOGEION_LINK,ROW_FILTERS,CONJUNCTION,DECLENSION,PROPER,REGULAR,STOPWORD
ΑΓΑΜΕΜΝΩΝ,Ἀγαμέμνων –ονος ὁ,Αγαμεμνων –ονος ο,Αγαμεμνων,"Agamemnon, lit. the very steadfast","Agamemnon, lit. the very steadfast",Noun,http://logeion.uchicago.edu/index.html#Ἀγαμέμνων,,,3,T,,
ΑΓΑΜΗΔΗ,Ἀγαμήδη –ης ἡ,Αγαμηδη –ης η,Αγαμηδη,Agamede,Agamede,Noun,http://logeion.uchicago.edu/index.html#Ἀγαμήδη,,,1,T,,
ΑΓΑΜΟΣ,ἄγαμος –ον,αγαμος –ον,αγαμος,"unmarried, unwedded, single","unmarried, unwedded, single",Adjective,http://logeion.uchicago.edu/index.html#ἄγαμος,,,1,,,
ΑΓΑΝ,ἄγαν,αγαν,αγαν,too much,"very, much, very much",Adverb,http://logeion.uchicago.edu/index.html#ἄγαν,,,,,,
ΑΓΑΝΑΚΤΕΩ,ἀγανακτέω ἀγανακτήσω ἠγανάκτησα ἠγανάκτηκα ἠγανάκτημαι ἠγανακτήθην,αγανακτεω αγανακτησω ηγανακτησα ηγανακτηκα ηγανακτημαι ηγανακτηθην,αγανακτεω,be annoyed with,"to feel irritation; to bubble, ferment (of wine)",Verb,http://logeion.uchicago.edu/index.html#ἀγανακτέω,,,,,,
ΑΓΑΝΝΙΦΟΣ,ἀγάννιφος –ον,αγαννιφος –ον,αγαννιφος,"much snowed on, snow-capt","much snowed on, snow-capt",Adjective,http://logeion.uchicago.edu/index.html#ἀγάννιφος,,,1,,,
ΑΓΑΝΟΣ/2,ἀγανός –ή –όν,αγανος –η –ον,αγανος,"mild, gentle, kindly","mild, gentle, kindly",Adjective,http://logeion.uchicago.edu/index.html#ἀγανός,,,1,,,
ΑΓΑΝΟΦΡΟΣΥΝΗ,ἀγανοφροσύνη –ης ἡ,αγανοφροσυνη –ης η,αγανοφροσυνη,"gentleness, kindliness","gentleness, kindliness",Noun,http://logeion.uchicago.edu/index.html#ἀγανοφροσύνη,,,1,,,
ΑΓΑΝΟΦΡΩΝ,ἀγανόφρων –ον,αγανοφρων –ον,αγανοφρων,gentle of mood,gentle of mood,Adjective,http://logeion.uchicago.edu/index.html#ἀγανόφρων,,,3,,,
ΑΓΑΠΑΖΩ,ἀγαπάζω/ἀγαπάω ἀγαπήσω ἠγάπησα ἠγάπηκα ἠγάπημαι ἠγαπήθην,αγαπαζω/αγαπαω αγαπήσω ηγαπησα ηγαπηκα ηγαπημαι ηγαπήθην,αγαπαζω,"to treat with affection, shew affection to","to treat with affection, shew affection to",Verb,http://logeion.uchicago.edu/index.html#ἀγαπάζω,,,,,,
ΑΓΑΠΑΩ,ἀγαπάω ἀγαπήσω ἀγάπησα ἠγάπηκα ἠγάπημαι ἀγάπηθην,αγαπαω αγαπησω αγαπησα ηγαπηκα ηγαπημαι αγαπηθην,αγαπαω,"love, show affection","to treat with affection, to caress, love, be fond of",Verb,http://logeion.uchicago.edu/index.html#ἀγαπάω,,,,,,
ΑΓΑΠΗ,ἀγάπη –ης ἡ,αγαπη –ης η,αγαπη,"love, charity",love,Noun,http://logeion.uchicago.edu/index.html#ἀγάπη,,,1,,,
ΑΓΑΠΗΝΩΡ,ἀγαπήνωρ –ορος,αγαπηνωρ –ορος,αγαπηνωρ,"loving manliness, manly","loving manliness, manly",Adjective,http://logeion.uchicago.edu/index.html#ἀγαπήνωρ,,,3,,,
ΑΓΑΠΗΝΩΡ/2,Ἀγαπήνωρ –ορος ὁ,Αγαπηνωρ –ορος ο,Αγαπηνωρ,Agapenor,Agapenor,Noun,http://logeion.uchicago.edu/index.html#Ἀγαπήνωρ,,,3,T,,
ΑΓΑΠΗΤΟΣ,ἀγαπητός –ή –όν,αγαπητος –η –ον,αγαπητος,beloved,beloved,Adjective,http://logeion.uchicago.edu/index.html#ἀγαπητός,,,1,,,
ΑΓΑΡΡΟΟΣ,ἀγάρροος –ον,αγαρροος –ον,αγαρροος,"strong-flowing, swift-flowing","strong-flowing, swift-flowing",Adjective,http://logeion.uchicago.edu/index.html#ἀγάρροος,,,1,,,
ΑΓΑΣΘΕΝΗΣ/2,Ἀγασθένης –ους ὁ,Αγασθενης –ους ο,Αγασθενης,Agasthenes,Agasthenes,Noun,http://logeion.uchicago.edu/index.html#Ἀγασθένης,,,3,T,,
ΑΓΑΣΙΚΛΗΣ,Ἀγασικλέης –έος ὁ (–κλῆς),Αγασικλεης –εος ο (–κλης),Αγασικλεης,Agasicles,Agasicles,Noun,http://logeion.uchicago.edu/index.html#Ἀγασικλέης,,,3,T,,
ΑΓΑΣΤΟΝΟΣ,ἀγάστονος –ον,αγαστονος –ον,αγαστονος,"much groaning, howling","much groaning, howling",Adjective,http://logeion.uchicago.edu/index.html#ἀγάστονος,,,1,,,
ΑΓΑΣΤΡΟΦΟΣ,Ἀγάστροφος –ου ὁ,Αγαστροφος –ου ο,Αγαστροφος,"Agastrophus, a Trojan","Agastrophus, a Trojan",Noun,http://logeion.uchicago.edu/index.html#Ἀγάστροφος,,,2,T,,
ΑΓΑΥΗ/2,Ἀγαυή –ῆς ἡ,Αγαυη –ης η,Αγαυη,Agaue,Agaue,Noun,http://logeion.uchicago.edu/index.html#Ἀγαυή,,,1,T,,
ΑΓΑΥΟΣ,ἀγαυός –ή –όν,αγαυος –η –ον,αγαυος,"illustrious, noble","illustrious, noble",Adjective,http://logeion.uchicago.edu/index.html#ἀγαυός,,,1,,,
ΑΓΒΑΤΑΝΑ,Ἀγβάτανα τά,Αγβατανα τα,Αγβατανα,"Agbatana, Ecbatana","Agbatana, Ecbatana",Noun,http://logeion.uchicago.edu/index.html#Ἀγβάτανα,,,2,T,,
ΑΓΓΕΙΟΝ,ἀγγεῖον –ου τό,αγγειον –ου το,αγγειον,"vessel, reservoir","vessel, reservoir",Noun,http://logeion.uchicago.edu/index.html#ἀγγεῖον,,,2,,,
ΑΓΓΕΛΙΑ,ἀγγελία –ας ἡ,αγγελια –ας η,αγγελια,"a message, tidings, news","a message, tidings, news",Noun,http://logeion.uchicago.edu/index.html#ἀγγελία,,,1,,,
ΑΓΓΕΛΙΑΦΟΡΟΣ,ἀγγελιηφόρος ὁ,αγγελιηφορος ο,αγγελιηφορος,a messenger,a messenger,Noun,http://logeion.uchicago.edu/index.html#ἀγγελιηφόρος,,,2,,,
ΑΓΓΕΛΙΗΣ,ἀγγελίης –ου ὁ,αγγελιης –ου ο,αγγελιης,messenger;,messenger;,Noun,http://logeion.uchicago.edu/index.html#ἀγγελίης,,,1,,,
ΑΓΓΕΛΛΩ,ἀγγέλλω ἀγγελῶ ἤγγειλα ἤγγελκα ἤγγελμαι ἠγγέλθην,αγγελλω αγγελω ηγγειλα ηγγελκα ηγγελμαι ηγγελθην,αγγελλω,announce,to bear a message,Verb,http://logeion.uchicago.edu/index.html#ἀγγέλλω,,,,,,
ΑΓΓΕΛΟΣ,ἄγγελος –ου ὁ,αγγελος –ου ο,αγγελος,messenger,"a messenger, envoy",Noun,http://logeion.uchicago.edu/index.html#ἄγγελος,,,2,,,
ΑΓΓΟΣ,ἄγγος –ους τό,αγγος –ους το,αγγος,a vessel,a vessel,Noun,http://logeion.uchicago.edu/index.html#ἄγγος,,,3,,,
ΑΓΓΟΥΡΟΝ,Ἄγγουρον τό,Αγγουρον το,Αγγουρον,Mt. Angouron (Name),Mt. Angouron,Noun,http://logeion.uchicago.edu/index.html#Αγγουρον,,,2,T,,
ΑΓΕ,ἄγε,αγε,αγε,come! come on! well!,come! come on! well!,Interjection,http://logeion.uchicago.edu/index.html#ἄγε,,,,,,
ΑΓΕΙΡΩ,ἀγείρω ἀγερῶ ἤγειρα ἀγήγερμαι ἠγέρθην,αγειρω αγερω ηγειρα αγηγερμαι ηγερθην,αγειρω,"gather, collect","to bring together, gather together",Verb,http://logeion.uchicago.edu/index.html#ἀγείρω,,,,,,
ΑΓΕΙΤΩΝ,ἀγείτων –ον,αγειτων -ον,αγειτων,"without neighbour, neighbourless","without neighbour, neighbourless",Adjective,http://logeion.uchicago.edu/index.html#ἀγείτων,,,3,,,
ΑΓΕΛΑΙΟΣ,ἀγελαῖος –α –ον,αγελαιος –α –ον,αγελαιος,"belonging to a herd, feeding at large","belonging to a herd, feeding at large",Adjective,http://logeion.uchicago.edu/index.html#ἀγελαῖος,,,1,,,
ΑΓΕΛΑΟΣ,Ἀγέλαος –ου ὁ,Αγελαος –ου ο,Αγελαος,"Agelaus, a Trojan, son of Phradmon; a Greek; or, a suitor, son of Damastor","Agelaus, a Trojan, son of Phradmon; a Greek; or, a suitor, son of Damastor",Noun,http://logeion.uchicago.edu/index.html#Ἀγέλαος,,,2,T,,
ΑΓΕΛΑΣΤΟΣ,ἀγέλαστος –ον,αγελαστος –ον,αγελαστος,"not laughing, grave, gloomy, sullen","not laughing, grave, gloomy, sullen",Adjective,http://logeion.uchicago.edu/index.html#ἀγέλαστος,,,1,,,
ΑΓΕΛΕΙΗ,ἀγελείη –ης ἡ,αγελειη –ης η,αγελειη,"driver of spoil, forager","driver of spoil, forager",Noun,http://logeion.uchicago.edu/index.html#ἀγελείη,,,1,,,
ΑΓΕΛΕΩΣ,Ἀγέλεως –ω ὁ,Αγελεως –ω ο,Αγελεως,Agelaus,Agelaus,Noun,http://logeion.uchicago.edu/index.html#Ἀγέλεως,,,2,T,,
ΑΓΕΛΗ,ἀγέλη –ης ἡ,αγελη –ης η,αγελη,a herd,a herd,Noun,http://logeion.uchicago.edu/index.html#ἀγέλη,,,1,,,
ΑΓΕΛΗΔΟΝ,ἀγεληδόν,αγεληδον,αγεληδον,in herds,in herds,Adverb,http://logeion.uchicago.edu/index.html#ἀγεληδόν,,,,,,
ΑΓΕΝΗΣ,ἀγενής –ές,αγενης –ες,αγενης,"unborn, uncreated","unborn, uncreated",Adjective,http://logeion.uchicago.edu/index.html#ἀγενής,,,3,,,
ΑΓΕΝΝΗΣ,ἀγεννής –ές,αγεννης –ες,αγεννης,"of no family, low-born","of no family, low-born",Adjective,http://logeion.uchicago.edu/index.html#ἀγεννής,,,3,,,
ΑΓΕΟΜΑΙ,ἁγέομαι,αγεομαι,αγεομαι,lead the way; be commander; rule (+ gen); believe,lead the way; be commander; rule (+ gen); believe,Verb,http://logeion.uchicago.edu/index.html#ἁγέομαι,,,,,,
ΑΓΕΡΑΣΤΟΣ,ἀγέραστος –ον,αγεραστος –ον,αγεραστος,"without a gift of honour, unrecompensed, unrewarded","without a gift of honour, unrecompensed, unrewarded",Adjective,http://logeion.uchicago.edu/index.html#ἀγέραστος,,,1,,,
ΑΓΕΡΩΧΟΣ,ἀγέρωχος –ον,αγερωχος –ον,αγερωχος,"high-minded, lordly","high-minded, lordly",Adjective,http://logeion.uchicago.edu/index.html#ἀγέρωχος,,,1,,,
ΑΓΕΥΣΤΟΣ,ἄγευστος –ον,αγευστος –ον,αγευστος,"without taste of, fasting from","without taste of, fasting from",Adjective,http://logeion.uchicago.edu/index.html#ἄγευστος,,,1,,,
ΑΓΗ/2,ἄγη –ης ἡ,αγη -ης η,αγη,"wonder, awe, amazement","wonder, awe, amazement",Noun,http://logeion.uchicago.edu/index.html#ἄγη,,,1,,,
ΑΓΗΛΑΤΕΩ,ἀγηλατέω ἀγηλατήσω ἠγηλάτησα ἠγηλάτηκα ––– –––,αγηλατεω αγηλατησω ηγηλατησα ηγηλατηκα ––– –––,αγηλατεω,to drive out a curse,to drive out a curse,Verb,http://logeion.uchicago.edu/index.html#ἀγηλατέω,,,,,,
ΑΓΗΝΟΡΙΑ,ἀγηνορία –ας ἡ,αγηνορια –ας η,αγηνορια,"manliness, manhood, courage","manliness, manhood, courage",Noun,http://logeion.uchicago.edu/index.html#ἀγηνορία,,,1,,,
ΑΓΗΝΩΡ,ἀγήνωρ –ορος,αγηνωρ –ορος,αγηνωρ,"manly, courageous, heroic","manly, courageous, heroic",Adjective,http://logeion.uchicago.edu/index.html#ἀγήνωρ,,,3,,,
ΑΓΗΝΩΡ/2,Ἀγήνωρ –ορος ὁ,Αγηνωρ –ορος ο,Αγηνωρ,Agenor,Agenor,Noun,http://logeion.uchicago.edu/index.html#Ἀγήνωρ,,,3,T,,
ΑΓΗΡΑΟΣ,ἀγήραος –ον,αγηραος –ον,αγηραος,"not waxing old, undecaying","not waxing old, undecaying",Adjective,http://logeion.uchicago.edu/index.html#ἀγήραος,,,1,,,
ΑΓΗΣΑΝΔΡΟΣ,Ἀγήσανδρος –ου ὁ,Αγησανδρος,Αγησανδρος,Agesandrus,Agesandrus,Noun,http://logeion.uchicago.edu/index.html#Ἀγήσανδρος,,,2,T,,
ΑΓΗΤΟΣ,ἀγητός –ή –όν,αγητος –η –ον,αγητος,"admirable, wondrous","admirable, wondrous",Adjective,http://logeion.uchicago.edu/index.html#ἀγητός,,,1,,,
ΑΓΙΝΕΩ,ἀγινέω/ἄγω ἄξω ἦξα/ἤγαγον ἦχα ἦγμαι ἤχθην,αγινεω/αγω αξω ηξα/ηγαγον ηχα ηγμαι ηχθην,αγινεω,"to lead, bring, carry","to lead, bring, carry",Verb,http://logeion.uchicago.edu/index.html#ἀγινέω,,,,,,
ΑΓΚΑΙΟΣ,Ἀγκαῖος –ου ὁ,Αγκαιος –ου ο,Αγκαιος,Ancaeus,Ancaeus,Noun,http://logeion.uchicago.edu/index.html#Ἀγκαῖος,,,2,T,,
ΑΓΚΑΛΗ,ἀγκάλη –ης ἡ,αγκαλη –ης η,αγκαλη,the bent arm,the bent arm,Noun,http://logeion.uchicago.edu/index.html#ἀγκάλη,,,1,,,
ΑΓΚΑΣ,ἀγκάς,αγκας,αγκας,in the arms,in the arms,Adverb,http://logeion.uchicago.edu/index.html#ἀγκάς,,,,,,
ΑΓΚΙΣΤΡΟΝ,ἄγκιστρον –ου τό,αγκιστρον –ου το,αγκιστρον,a fish-hook,a fish-hook,Noun,http://logeion.uchicago.edu/index.html#ἄγκιστρον,,,2,,,
ΑΓΚΙΣΤΡΟΠΩΛΗΣ,ἀγκιστροπώλης –ου ὁ,αγκιστροπωλης –ου ο,αγκιστροπωλης,seller of fish-hooks,seller of fish-hooks,Noun,http://logeion.uchicago.edu/index.html#ἀγκιστροπώλης,,,1,,,
ΑΓΚΟΙΝΑ,ἄγκοινα –ης ἡ,αγκοινα –ης η,αγκοινα,anything enfolding,anything enfolding,Noun,http://logeion.uchicago.edu/index.html#ἄγκοινα,,,1,,,
ΑΓΚΟΙΝΗ,ἀγκοίνη –ης ἡ,αγκοινη –ης η,αγκοινη,the bent arm,the bent arm,Noun,http://logeion.uchicago.edu/index.html#ἀγκοίνη,,,1,,,
ΑΓΚΟΣ,ἄγκος –ους τό,αγκος –ους το,αγκος,a bend,a bend,Noun,http://logeion.uchicago.edu/index.html#ἄγκος,,,3,,,
ΑΓΚΥΛΗ,ἀγκύλη –ης ἡ,αγκυλη –ης η,αγκυλη,a loop,a loop,Noun,http://logeion.uchicago.edu/index.html#ἀγκύλη,,,1,,,
ΑΓΚΥΛΟΜΗΤΗΣ,ἀγκυλομήτης –ου,αγκυλομητης –ου,αγκυλομητης,"crooked of counsel, wily","crooked of counsel, wily",Adjective,http://logeion.uchicago.edu/index.html#ἀγκυλομήτης,,,1,,,
ΑΓΚΥΛΟΣ,ἀγκύλος –η –ον,αγκυλος –η –ον,αγκυλος,"crooked, curved","crooked, curved",Adjective,http://logeion.uchicago.edu/index.html#ἀγκύλος,,,1,,,
ΑΓΚΥΛΟΤΟΞΟΣ,ἀγκυλότοξος –ον,αγκυλοτοξος –ον,αγκυλοτοξος,with curved bow,with curved bow,Adjective,http://logeion.uchicago.edu/index.html#ἀγκυλότοξος,,,1,,,
ΑΓΚΥΛΟΧΕΙΛΗΣ,ἀγκυλοχείλης –ου,αγκυλοχειλης –ου,αγκυλοχειλης,with hooked beak,with hooked beak,Adjective,http://logeion.uchicago.edu/index.html#ἀγκυλοχείλης,,,1,,,
ΑΓΚΥΡΑ,ἄγκυρα,αγκυρα,αγκυρα,anchor,anchor,Noun,http://logeion.uchicago.edu/index.html#ἄγκυρα,,,1,T,,
ΑΓΚΩΝ,ἀγκών –ῶνος ὁ,αγκων –ωνος ο,αγκων,"the bend of the arm, the elbow","the bend of the arm, the elbow",Noun,http://logeion.uchicago.edu/index.html#ἀγκών,,,3,,,
ΑΓΛΑΙΑ,ἀγλαΐα –ας ἡ,αγλαια –ας η,αγλαια,"splendour, beauty","splendour, beauty",Noun,http://logeion.uchicago.edu/index.html#ἀγλαΐα,,,1,,,
ΑΓΛΑΙΑ/2,Ἀγλαΐα –ας ἡ,Αγλαια –ας η,Αγλαια,"Aglaea, wife of Charops, mother of Nireus","Aglaea, wife of Charops, mother of Nireus",Noun,http://logeion.uchicago.edu/index.html#Ἀγλαΐα,,,1,T,,
ΑΓΛΑΙΖΩ,ἀγλαΐζω,αγλαιζω,αγλαιζω,"to make splendid, glorify","to make splendid, glorify",Verb,http://logeion.uchicago.edu/index.html#ἀγλαΐζω,,,,,,
ΑΓΛΑΟΔΩΡΟΣ,ἀγλαόδωρος –ον,αγλαοδωρος –ον,αγλαοδωρος,giving splendid gifts,giving splendid gifts,Adjective,http://logeion.uchicago.edu/index.html#ἀγλαόδωρος,,,1,,,
